Provider,HotelCode,RoomCategory,RoomType,MealType,Cost
olympiaeurope,193e6e,Standard,DB,RO,1822.85
miki,107357,Standard,DB,BC,3396.27
bonotel,17db61,Deluxe,DB,BC,4229.20
bonotel,17db61,Deluxe,DB,BC,4229.20
olympiaeurope,1255ec,Standard,DB,RO,562.96
olympiaeurope,1255ec,Standard,DB,RO,599.60
olympiaeurope,1255ec,Standard,DB,RO,601.68
olympiaeurope,1255ec,Standard,DB,RO,606.80
olympiaeurope,1255ec,Standard,DB,RO,641.04
olympiaeurope,1255ec,Standard,DB,RO,644.32
olympiaeurope,1255ec,Standard,DB,RO,646.40
olympiaeurope,1255ec,Standard,DB,RO,686.48
olympiaeurope,1070a9,Standard,DB,RO,3058.80
olympiaeurope,1070a9,Standard,DB,RO,3314.02
olympiaeurope,1070a5,Junior Suite,DB,RO,2347.35
olympiaeurope,1070a5,Junior Suite,DB,RO,2687.67
bonotel,110851,Standard,DB,BE,2200.93
bonotel,110851,Standard,DB,BE,2200.93
bonotel,110851,Standard,DB,BE,2200.93
miki,189832,Standard,TW,RO,2319.10
bonotel,107311,Standard,DB,RO,4694.80
bonotel,107311,Standard,DB,RO,4694.80
bonotel,107311,Standard,DB,RO,4888.80
bonotel,107311,Standard,DB,RO,4888.80
olympiaeurope,107311,Standard,DB,RO,2617.96
olympiaeurope,107311,Standard,DB,RO,3043.32
bonotel,107a49,Suite,DB,RO,7472.88
bonotel,107a49,Suite,DB,RO,7472.88
sunhotels,1111bb,Standard,DB,BC,616.00
sunhotels,1111bb,Standard,DB,BC,715.00
sunhotels,1111bb,Standard,DB,BC,715.00
bonotel,176baf,Standard,DB,RO,6845.29
bonotel,176baf,Standard,DB,RO,13202.67
bonotel,102a80,Standard,DB,RO,8827.00
olympiaeurope,102ec8,Junior Suite,DB,RO,2355.79
bonotel,176baf,Deluxe,DB,RO,8257.61
bonotel,176baf,Deluxe,DB,RO,8257.61
bonotel,176baf,Deluxe,DB,RO,7677.55
bonotel,107a49,Junior Suite,DB,RO,5455.28
bonotel,107a49,Junior Suite,DB,RO,5455.28
bonotel,176baf,Suite,DB,RO,9202.39
bonotel,176baf,Suite,DB,RO,9202.39
bonotel,176baf,Suite,DB,RO,8786.26
bonotel,176baf,Suite,DB,RO,11149.18
bonotel,10793e,Deluxe,DB,RO,7084.88
dotw,10793e,Deluxe,DB,RO,6276.25
olympiaeurope,19ccc8,Standard,DB,RO,868.80
olympiaeurope,19ccc8,Standard,DB,RO,919.76
olympiaeurope,19ccc8,Standard,DB,RO,926.64
olympiaeurope,19ccc8,Standard,DB,RO,980.96
bonotel,107a49,Deluxe,DB,RO,2918.73
bonotel,107a49,Deluxe,DB,RO,4327.17
bonotel,107a49,Deluxe,DB,RO,2918.73
bonotel,107a49,Deluxe,DB,RO,2918.73
bonotel,107a49,Deluxe,DB,RO,4327.17
bonotel,107a49,Deluxe,DB,RO,4327.17
bonotel,107a49,Deluxe,DB,RO,4738.45
bonotel,107a49,Deluxe,DB,RO,3223.31
bonotel,107a49,Deluxe,DB,RO,4533.78
bonotel,107a49,Deluxe,DB,RO,4533.78
bonotel,107a49,Deluxe,DB,RO,3020.58
bonotel,107a49,Deluxe,DB,RO,3020.58
bonotel,107a49,Deluxe,DB,RO,4050.72
bonotel,107a49,Deluxe,DB,RO,4050.72
bonotel,107a49,Deluxe,DB,RO,4050.72
bonotel,107a49,Deluxe,DB,RO,3903.28
bonotel,107a49,Deluxe,DB,RO,3903.28
bonotel,107a49,Deluxe,DB,RO,3903.28
bonotel,107a49,Deluxe,DB,RO,4050.72
bonotel,107a49,Deluxe,DB,RO,3903.28
bonotel,107a49,Deluxe,DB,RO,4159.36
bonotel,107a49,Deluxe,DB,RO,4322.32
bonotel,107a49,Deluxe,DB,RO,4322.32
bonotel,107a49,Deluxe,DB,RO,4322.32
bonotel,107a49,Deluxe,DB,RO,4322.32
bonotel,107a49,Deluxe,DB,RO,4159.36
bonotel,107a49,Deluxe,DB,RO,4159.36
bonotel,107a49,Deluxe,DB,RO,4159.36
bonotel,107a49,Deluxe,DB,RO,4586.16
bonotel,107a49,Deluxe,DB,RO,4586.16
bonotel,107a49,Deluxe,DB,RO,4586.16
bonotel,107a49,Deluxe,DB,RO,4415.44
bonotel,107a49,Deluxe,DB,RO,4415.44
bonotel,107a49,Deluxe,DB,RO,4586.16
bonotel,107a49,Deluxe,DB,RO,4415.44
bonotel,107a49,Deluxe,DB,RO,4415.44
bonotel,189c45,Superior,DB,RO,2035.06
bonotel,189c45,Superior,DB,RO,2035.06
olympiaeurope,193e6e,Superior,DB,RO,1939.65
olympiaeurope,193e6e,Superior,DB,RO,2119.42
olympiaeurope,10799a,Suite,DB,RO,1465.84
olympiaeurope,10799a,Suite,DB,RO,1568.72
olympiaeurope,10799a,Suite,DB,RO,1671.60
bonotel,189c45,Standard,DB,RO,1821.66
bonotel,189c45,Standard,DB,RO,1821.66
