HotelCode,AverageCost,RoundedAverageCost
106022,1536.7401687763704,1536.74
10eaa2,1108.17,1108.17
189b8c,2159.22,2159.22
1091dd,517.0,517.0
11736a,3399.5947368421052,3399.59
1091d4,2413.928915662651,2413.93
15a173,267.93375000000003,267.93
195fde,1776.5677777777776,1776.57
10eec9,1324.4142857142856,1324.41
1091eb,690.23625,690.24
10b530,954.0484444444442,954.05
110851,2200.93,2200.93
1091e1,1776.2791891891893,1776.28
11b19c,630.12,630.12
116142,740.0057575757575,740.01
1014d6,709.3026415094337,709.3
190a44,1934.932975206611,1934.93
110f76,883.0951351351354,883.1
1a38c5,235.28666666666666,235.29
1074b5,199.64,199.64
12686e,1414.4768702290069,1414.48
10934f,479.15749999999997,479.16
1091f7,479.7675,479.77
1013dd,1508.963333333334,1508.96
19eff3,377.7913793103448,377.79
112e76,269.1825,269.18
125d36,1800.7417241379308,1800.74
189c45,1928.36,1928.36
1028f7,1838.15,1838.15
19cd45,139.70666666666665,139.71
1092c3,822.0045871559631,822.0
11e8f6,943.5550909090908,943.56
134bbf,72.69333333333334,72.69
1b2f0a,2063.0690697674418,2063.07
10a059,1856.8643333333332,1856.86
13e449,224.72,224.72
107078,3985.73,3985.73
11ea7a,1279.8929629629629,1279.89
123749,1818.231511627906,1818.23
111e41,737.2519047619048,737.25
10c9e9,203.28923076923078,203.29
104fa4,261.6825,261.68
19a08c,257.61717391304353,257.62
10f866,273.33,273.33
109d74,2208.41,2208.41
1072ba,2325.6666666666665,2325.67
19cfc8,2830.87,2830.87
195f93,473.94,473.94
102660,503.27875000000006,503.28
1119d4,1499.1890816326531,1499.19
11fc20,551.205625,551.21
1a3b41,720.7666666666668,720.77
1551fc,2020.7268000000006,2020.73
1091d6,1123.933,1123.93
11cc88,1737.8775,1737.88
110c05,1098.656,1098.66
194430,934.7575342465753,934.76
116af7,459.605,459.61
11ed79,67.95400000000001,67.95
17f368,351.735,351.74
19d99a,327.19,327.19
10a1fd,1457.603757961784,1457.6
1028b1,755.6076923076923,755.61
1177ec,175.5042105263158,175.5
16c780,182.21588235294115,182.22
10a0e4,17541.371470588234,17541.37
19602c,2564.7475,2564.75
10b501,293.53839999999997,293.54
10bb39,614.7626666666666,614.76
1143af,258.8428571428571,258.84
107013,352.72153846153844,352.72
18ee86,3018.747347417834,3018.75
111e45,1425.515,1425.52
1091de,789.7478571428572,789.75
18f737,2768.75,2768.75
125c9e,744.7809999999998,744.78
100d90,222.63,222.63
10c3b2,204.77,204.77
10a262,1387.8816666666664,1387.88
120993,473.93625,473.94
17db61,4229.2,4229.2
10aaa8,11863.242499999998,11863.24
129099,1307.489090909091,1307.49
10b426,291.7920833333334,291.79
10bcbd,268.1925,268.19
10ccfd,2544.9,2544.9
107357,3036.8668421052625,3036.87
1091f4,701.1421428571427,701.14
10ba5b,629.0,629.0
1070a7,3951.6183333333333,3951.62
107b07,208.59,208.59
1091d0,675.815,675.82
1092fb,816.0608333333334,816.06
10b483,252.05499999999998,252.05
10c19a,191.17375,191.17
11a15d,868.2727272727271,868.27
1091ff,544.7353488372092,544.74
10b349,338.81333333333333,338.81
190469,2543.395352112676,2543.4
10335f,898.8455769230769,898.85
1123f9,1069.14,1069.14
149a30,168.98900000000003,168.99
1023db,173.54699999999997,173.55
10a118,1289.9219736842103,1289.92
111506,3291.7814563106776,3291.78
10bf38,257.69812499999995,257.7
10b31f,324.1818181818182,324.18
10bcf9,390.2,390.2
1393c1,284.96375,284.96
13b32f,2626.8225000000007,2626.82
1b3503,2731.5339999999997,2731.53
10b4e2,204.5371794871794,204.54
107a49,4262.948970588237,4262.95
1091c4,527.77,527.77
10c7b8,201.29684210526312,201.3
1b3a99,342.475,342.48
1091d2,3958.883846153846,3958.88
10a0e0,2564.0576811594196,2564.06
12687b,3970.7956521739125,3970.8
111e3f,543.7325,543.73
112e75,345.99764705882353,346.0
110f99,3642.3025352112686,3642.3
109299,1092.607619047619,1092.61
1070d1,209.16444444444446,209.16
12fe4f,905.0963636363638,905.1
105cea,142.66333333333333,142.66
110c82,178.10526315789474,178.11
10c949,773.7571604938274,773.76
10b60a,1436.7296969696972,1436.73
17d600,759.4865625,759.49
1b3715,790.23,790.23
10b706,627.8447058823531,627.84
179130,283.28363636363633,283.28
118dfb,5768.916666666667,5768.92
1b44d5,719.435,719.44
109ceb,630.2452542372882,630.25
10c047,168.77916666666667,168.78
10bc78,203.52,203.52
1091c9,1806.2910849056614,1806.29
110f8b,2341.1111111111113,2341.11
1200e1,669.1650000000001,669.17
12aa42,578.5766666666667,578.58
10753c,1502.448,1502.45
10920c,584.4346666666667,584.43
1904b5,501.15,501.15
103198,2720.58,2720.58
11fbc3,4649.75,4649.75
10b31c,305.09,305.09
1126ed,1766.9399999999998,1766.94
10b6ed,177.185,177.19
12b47c,2051.276249999999,2051.28
10b847,712.1609090909092,712.16
106005,218.24375,218.24
10c183,277.5109090909091,277.51
1208ec,266.5433333333333,266.54
109c15,1863.3765000000005,1863.38
19144e,262.744,262.74
1904d8,3643.6607142857147,3643.66
10ab4a,539.0,539.0
1798ad,4764.517692307692,4764.52
136f5a,752.3556779661022,752.36
10a785,898.6350000000001,898.64
11d652,217.70416666666665,217.7
10ef0b,356.76444444444445,356.76
189b95,3322.0,3322.0
109683,1268.9509090909091,1268.95
10b9b3,293.9635714285714,293.96
195fdd,4496.225999999997,4496.23
19602d,7604.778,7604.78
14b926,1500.5654166666666,1500.57
189832,2329.9655555555555,2329.97
1930aa,735.734,735.73
1129a6,823.818,823.82
18976a,1587.8436111111112,1587.84
1591cd,1228.36,1228.36
10b9a3,235.35,235.35
1071c9,220.71,220.71
107128,382.40999999999997,382.41
113ec3,3712.8459090909096,3712.85
109d08,1106.530344827586,1106.53
10bdd6,490.34250000000003,490.34
112a62,608.6725,608.67
109cbb,1943.5281818181822,1943.53
195fd3,374.5,374.5
15660c,100.55999999999999,100.56
19ff69,695.7621428571429,695.76
11c0e6,2690.087876447876,2690.09
18ed4f,7875.4608333333335,7875.46
18a260,477.98285714285714,477.98
152268,113.265,113.27
1198ac,1944.85,1944.85
109e7f,672.908125,672.91
112e78,373.9649999999999,373.96
10b554,247.37399999999997,247.37
106023,1303.3133333333333,1303.31
1096ea,525.3683333333332,525.37
1336f0,256.8527272727273,256.85
10bfac,249.48,249.48
10b740,283.86,283.86
11af9f,531.939,531.94
1014c5,1130.6133333333332,1130.61
107496,2446.34,2446.34
10bab8,314.4417142857143,314.44
190014,1157.4136363636362,1157.41
1091c6,1096.0012857142854,1096.0
13bab1,1637.20875,1637.21
1091dc,980.8825,980.88
101974,448.875,448.88
1091e7,1073.501779661017,1073.5
1091e4,1905.2855000000004,1905.29
114d6f,354.16761904761904,354.17
110f94,604.1205555555556,604.12
106169,580.65,580.65
1b4769,477.73749999999995,477.74
1091ef,1269.4192857142855,1269.42
113df6,233.03,233.03
118983,205.30555555555557,205.31
10b850,303.25090909090903,303.25
10b81d,245.16666666666666,245.17
10cbf7,340.26599999999996,340.27
18ec41,878.3333333333334,878.33
11c06c,1290.3012195121946,1290.3
1092c4,4058.1515909090945,4058.15
195ff9,447.86,447.86
109880,959.35,959.35
10bf93,372.09,372.09
1072c3,244.01,244.01
11246b,447.2325,447.23
102ec8,2222.736666666667,2222.74
14d5cc,3702.77,3702.77
138251,775.18,775.18
192ab5,478.24,478.24
109206,961.9824489795918,961.98
1255ec,654.0000000000001,654.0
110f7c,506.8504545454545,506.85
19396e,808.115,808.12
1096e0,1777.518,1777.52
1143a9,254.528,254.53
1013da,696.7950000000001,696.8
10a1c7,1416.5256250000002,1416.53
13a074,2146.2902439024383,2146.29
190bc8,1493.154310344828,1493.15
116350,734.8965384615385,734.9
10b31d,383.92,383.92
106249,324.2988888888888,324.3
10b705,184.10000000000002,184.1
1944ab,849.5975471698113,849.6
196020,4271.0,4271.0
10b436,320.01,320.01
1b370f,882.2249999999999,882.22
10c3b3,1358.367857142857,1358.37
10be24,315.65727272727275,315.66
10b5ee,318.17260869565223,318.17
19263c,773.4342857142856,773.43
109347,635.153829787234,635.15
10bb38,134.64000000000001,134.64
1014dc,663.7573076923078,663.76
1b38e4,1728.3624000000002,1728.36
109f6f,3141.0524999999993,3141.05
11f99c,530.1800000000001,530.18
10b69c,317.789074074074,317.79
139eb7,248.08499999999998,248.08
104efe,344.14599999999996,344.15
102a80,19961.306666666667,19961.31
19604f,1437.4730434782607,1437.47
13d27d,3052.8184375,3052.82
10b429,197.1,197.1
1515d5,1245.51,1245.51
128b9f,780.0217073170734,780.02
157b66,72.695,72.7
196033,7475.0,7475.0
1023d4,216.66666666666666,216.67
10973e,1227.54,1227.54
10f391,339.66375000000005,339.66
10b7c4,292.51827586206895,292.52
107220,2118.92,2118.92
11776c,1231.3242857142857,1231.32
10cba9,161.50333333333336,161.5
10920e,419.3349999999999,419.33
1097e7,2000.0778947368424,2000.08
12e8b3,1692.2966666666664,1692.3
122838,626.045,626.05
12ca5d,350.91,350.91
111cc0,313.6668421052632,313.67
10ad8b,2386.625,2386.63
12fbbf,614.1641666666667,614.16
10a261,1398.818434782609,1398.82
10bf72,162.39733333333334,162.4
10a47b,5353.298679245285,5353.3
101911,5485.209230769231,5485.21
14d9cf,168.77249999999998,168.77
12b223,634.6181818181819,634.62
19246b,463.19833333333327,463.2
1013ad,1505.8455555555554,1505.85
113322,340.87999999999994,340.88
1b4763,648.9,648.9
189a7e,2236.8199999999997,2236.82
1096e6,1148.8858333333333,1148.89
112e77,311.79466666666667,311.79
10b693,292.3625,292.36
11084e,185.70666666666668,185.71
110f8e,873.6660869565216,873.67
14ab75,2809.3741666666665,2809.37
1014ee,1100.0167088607593,1100.02
10c0cc,175.93,175.93
110f8f,969.4486725663709,969.45
11478c,1110.9975,1111.0
10ebb8,728.152,728.15
10c1e3,475.89702702702687,475.9
16d78f,2553.96,2553.96
1a6152,749.2613084112148,749.26
13e338,1340.4324705882354,1340.43
1091d8,712.9124999999999,712.91
10944f,1250.86,1250.86
10b408,385.49409090909097,385.49
106da0,324.1275,324.13
111fcf,732.7067857142858,732.71
10b297,1928.6699999999998,1928.67
10f63f,507.04066666666665,507.04
1013d1,409.01199999999994,409.01
107346,2380.276,2380.28
1179d3,1064.581169590643,1064.58
109208,578.305,578.31
18aa30,767.6424999999999,767.64
17d685,201.18200000000002,201.18
1013ba,2120.981875,2120.98
1048d1,3310.0,3310.0
1014b8,343.16,343.16
1025ed,1029.12698019802,1029.13
1304c8,1416.3013,1416.3
102405,3774.27,3774.27
19d46b,303.45200000000006,303.45
12471f,293.91499999999996,293.91
1091ca,782.5748571428571,782.57
10f3ad,607.6792682926829,607.68
109cad,1085.7956000000001,1085.8
127383,517.525,517.53
18fd7e,1334.1333333333334,1334.13
1091d5,1393.7954193548378,1393.8
19601b,1023.253223140496,1023.25
10aa8f,2269.575,2269.58
10b5c5,247.51,247.51
11e047,2412.025,2412.03
16fc06,828.8,828.8
10b5fa,315.82,315.82
10797d,2930.0466666666666,2930.05
10c6f6,208.20083333333332,208.2
10b866,408.38,408.38
163677,70.02,70.02
102720,707.2567999999999,707.26
109262,4414.294390243902,4414.29
1b44c3,603.6279999999999,603.63
142597,2455.07,2455.07
191cd2,1524.843754152824,1524.84
110f91,1006.6987500000001,1006.7
123cc6,15549.785428571426,15549.79
1091c8,490.77,490.77
1b347f,566.0550000000001,566.06
10be98,906.873103448276,906.87
10148d,244.71425531914898,244.71
10b627,303.83874999999995,303.84
12ecf5,319.9066666666667,319.91
1520b1,203.44999999999996,203.45
113f04,573.0664,573.07
10b3a9,212.11,212.11
197be7,463.17928571428575,463.18
110f7e,2024.934583333333,2024.93
10a0e1,12273.201666666668,12273.2
10988d,2153.9232773109243,2153.92
10c5f0,185.71166666666667,185.71
196045,1408.3485526315792,1408.35
11975b,1464.5498015873013,1464.55
139083,4769.861111111111,4769.86
10bbb4,188.98874999999998,188.99
158e16,97.26714285714286,97.27
